POINT_CD,LOCAL_POINT_CD,POINT_NAME_JP,POINT_NAME,COUNTRY,CITY,LAT,LON,ALT
201001,1001,ヤンマイエン島,JAN MAYEN,NORWAY,SVALBARD AND JAN MAYEN,70.9331,-8.6667,9.4
201010,1010,アネヤ空港（アン島）,ANDOYA,NORWAY,ANDOY,69.3072,16.1308,13.1
201015,1015,HEKKINGEN LH,HEKKINGEN LH,NORWAY,LENVIK,69.6006,17.8372,0
201023,1023,バルフォス飛行場,BARDUFOSS,NORWAY,MALSELV,69.0589,18.54,76.8
201025,1025,トロムス/LANGNES,TROMSO/LANGNES,NORWAY,TROMSO,69.6767,18.9131,8.8
201026,1026,トロムス,TROMSO,NORWAY,TROMSO,69.6536,18.9367,114.5
201027,1027,TROMSO-HOLT,TROMSO-HOLT,NORWAY,TROMSO,69.6522,18.9056,20
201033,1033,TORSVAG LH,TORSVAG LH,NORWAY,VANNAREID,70.2456,19.5003,24.1
201035,1035,LYNGEN GJERDVASSBU,LYNGEN GJERDVASSBU,NORWAY,LYNGEN KOMMUNE,69.5589,20.0939,0
201037,1037,SKIBOTN 2,SKIBOTN 2,NORWAY,STORFJORD KOMMUNE,69.3875,20.2822,20
201043,1043,ROGNSUNDET,ROGNSUNDET,NORWAY,FINNMARK,70.4103,22.8194,0
201044,1044,HASVIK AP,HASVIK AP,NORWAY,HASVIK,70.4861,22.1461,6.4
201045,1045,NORDSTRAUM I KVAENANGEN,NORDSTRAUM I KVAENANGEN,NORWAY,KVANANGEN KOMMUNE,69.8336,21.8842,0
201046,1046,SORKJOSEN,SORKJOSEN,NORWAY,SORKJOSEN,69.7886,20.9553,4.9
201047,1047,カウトケイノ,KAUTOKEINO,NORWAY,KAUTOKEINO,68.9967,23.0333,307.2
201049,1049,ALTA LUFTHAVN,ALTA LUFTHAVN,NORWAY,ALTA,69.9775,23.3581,2.7
201052,1052,ハンメルフェスト,HAMMERFEST AP,NORWAY,HAMMERFEST,70.6806,23.6769,79.2
201055,1055,FRUHOLMEN LH,FRUHOLMEN LH,NORWAY,FINNMARK,71.0933,23.9817,14.2
201057,1057,CUOVDDATMOHKKI,CUOVDDATMOHKKI,NORWAY,KARASJOK KOMMUNE,69.3669,24.4331,0
201058,1058,SUOLOVUOPMI LULIT,SUOLOVUOPMI LULIT,NORWAY,KAUTOKEINO KOMMUNE,69.5794,23.5344,381.1
201059,1059,BANAK,BANAK,NORWAY,LAKSELV,70.06,24.9897,7.6
201065,1065,カラショク,KARASJOK,NORWAY,KARASJOK,69.4633,25.5022,130.8
201068,1068,ホンニングスボーグ,HONNINGSVAG,NORWAY,HONNINGSVAG,71.0106,25.9781,14
201074,1074,MEHAMN AP,MEHAMN AP,NORWAY,GAMVIK,71.0331,27.8297,11.9
